0.05,0.0,0.0,0.0,0.07,0.03,0.16,0.02,243,-0.2222222222222222,16.0,2559.0,27.44,2.933755397796631,-1.0
0.03,0.0,0.0,0.0,0.08,0.06,0.15,0.01,168,0.4666666666666667,12.0,1703.0,23.67,2.0223841667175293,-1.0
0.03,0.0,0.0,0.0,0.08,0.03,0.19,0.02,642,0.024390243902439025,44.0,9396.0,34.75,9.895123481750488,-1.0
0.02,0.0,0.0,0.0,0.09,0.05,0.18,0.01,572,-0.17647058823529413,54.0,7250.0,22.26,4.330735683441162,-1.0
0.03,0.0,0.0,0.0,0.08,0.03,0.2,0.02,245,-0.1,17.0,2706.0,27.12,2.0721542835235596,-1.0
0.04,0.0,0.0,0.0,0.06,0.07,0.16,0.02,464,0.03333333333333333,44.0,5667.0,22.23,2.507824420928955,-1.0
0.04,0.0,0.0,0.0,0.07,0.04,0.21,0.02,418,0.16,28.0,5205.0,30.5,4.839789867401123,-1.0
0.04,0.0,0.0,0.0,0.11,0.03,0.16,0.02,124,0.3333333333333333,5.0,1231.0,38.4,1.9618046283721924,-1.0
0.03,0.0,0.0,0.0,0.06,0.03,0.18,0.02,72,1.0,5.0,699.0,24.4,1.2710050344467163,-1.0
0.04,0.0,0.0,0.0,0.08,0.03,0.18,0.03,517,-0.5,40.0,6752.0,27.52,5.255734920501709,-1.0
0.03,0.0,0.0,0.0,0.05,0.03,0.24,0.04,85,0.14285714285714285,3.0,715.0,37.67,1.170400857925415,-1.0
0.05,0.0,1.0,0.0,0.05,0.04,0.2,0.02,231,-0.6,22.0,2162.0,16.09,3.309326171875,-1.0
0.04,0.0,0.0,0.0,0.06,0.05,0.14,0.01,246,0.42857142857142855,25.0,2856.0,19.72,2.4517648220062256,-1.0
0.04,0.0,0.0,0.0,0.09,0.03,0.18,0.02,313,-0.21739130434782608,20.0,3479.0,28.7,3.069655418395996,-1.0
0.05,0.0,1.0,0.0,0.06,0.04,0.14,0.05,718,0.125,113.0,9682.0,15.01,6.576645374298096,-1.0
0.04,0.0,1.0,0.0,0.07,0.04,0.18,0.05,587,0.20481927710843373,46.0,7529.0,27.65,6.408233642578125,-1.0
0.05,0.0,0.0,0.0,0.06,0.03,0.18,0.03,191,-0.15789473684210525,20.0,2170.0,18.3,1.969428539276123,-1.0
0.03,0.0,0.0,0.0,0.09,0.03,0.18,0.02,505,-0.14942528735632185,38.0,6272.0,27.24,5.772618293762207,-1.0
0.04,0.0,0.0,0.0,0.06,0.05,0.18,0.02,407,0.3157894736842105,41.0,4829.0,20.15,3.3128113746643066,-1.0
0.03,0.0,0.0,0.0,0.06,0.04,0.16,0.01,882,0.21333333333333335,117.0,13933.0,20.84,7.592121124267578,-1.0
0.04,0.0,0.0,0.0,0.06,0.04,0.15,0.02,631,0.11538461538461539,62.0,8060.0,22.35,6.6052727699279785,-1.0
0.06,0.0,0.0,0.0,0.07,0.01,0.15,0.02,98,-1.0,7.0,857.0,19.71,0.810905933380127,-1.0
0.04,0.0,0.0,0.0,0.05,0.04,0.19,0.03,562,0.12727272727272726,62.0,7577.0,20.84,7.093038558959961,-1.0
0.06,0.0,0.0,0.0,0.05,0.02,0.14,0.01,156,0.14285714285714285,12.0,1492.0,21.17,2.1845366954803467,-1.0
0.03,0.0,0.0,0.0,0.08,0.05,0.19,0.03,470,0.018867924528301886,33.0,5003.0,25.33,3.8690991401672363,-1.0
0.04,0.0,0.0,0.0,0.07,0.04,0.17,0.01,719,-0.012048192771084338,66.0,9293.0,24.2,7.540542125701904,-1.0
0.03,0.0,0.0,0.0,0.05,0.03,0.18,0.01,390,-0.4666666666666667,27.0,4892.0,31.85,4.4741363525390625,-1.0
